Contact Name;ID;ID Type;TS Override
TG 9;9;Group;Disabled
Parrot 9990;9990;Private;Disabled
OpenGD77 TG;98977;Group;Disabled
TG 91;91;Group;Disabled
XLX359;284359;Group;Disabled
BG Test;2840;Group;Disabled
BG 284;284;Group;Disabled
Emergency;284112;Group;Disabled
Sofia;2842;Group;Disabled
BG United;28410;Group;Disabled
